source,target,relationship,course,since,strength,type,department
2359,7166,born 3 years apart,birth-year proximity,1883,0.62,bidirectional,same generation
2359,4922,born 5 years apart,birth-year proximity,1883,0.38,bidirectional,same generation
7166,4922,born 2 years apart,birth-year proximity,1886,0.75,bidirectional,same generation
4922,35,born 6 years apart,birth-year proximity,1888,0.25,bidirectional,same generation
35,2030,born 1 year apart,birth-year proximity,1894,0.88,bidirectional,same generation
35,2899,born 2 years apart,birth-year proximity,1894,0.75,bidirectional,same generation
35,34,born 4 years apart,birth-year proximity,1894,0.5,bidirectional,same generation
2030,2899,born 1 year apart,birth-year proximity,1895,0.88,bidirectional,same generation
2030,34,born 3 years apart,birth-year proximity,1895,0.62,bidirectional,same generation
2030,2964,born 6 years apart,birth-year proximity,1895,0.25,bidirectional,same generation
2899,34,born 2 years apart,birth-year proximity,1896,0.75,bidirectional,same generation
2899,2964,born 5 years apart,birth-year proximity,1896,0.38,bidirectional,same generation
2899,43745,born 6 years apart,birth-year proximity,1896,0.25,bidirectional,same generation
2899,769,born 6 years apart,birth-year proximity,1896,0.25,bidirectional,same generation
34,2964,born 3 years apart,birth-year proximity,1898,0.62,bidirectional,same generation
34,43745,born 4 years apart,birth-year proximity,1898,0.5,bidirectional,same generation
34,769,born 4 years apart,birth-year proximity,1898,0.5,bidirectional,same generation
2964,43745,born 1 year apart,birth-year proximity,1901,0.88,bidirectional,same generation
2964,769,born 1 year apart,birth-year proximity,1901,0.88,bidirectional,same generation
2964,2927,born 5 years apart,birth-year proximity,1901,0.38,bidirectional,same generation
2964,1671,born 6 years apart,birth-year proximity,1901,0.25,bidirectional,same generation
2964,8103,born 6 years apart,birth-year proximity,1901,0.25,bidirectional,same generation
43745,769,born 0 years apart,birth-year proximity,1902,1.0,bidirectional,same generation
43745,2927,born 4 years apart,birth-year proximity,1902,0.5,bidirectional,same generation
43745,1671,born 5 years apart,birth-year proximity,1902,0.38,bidirectional,same generation
43745,8103,born 5 years apart,birth-year proximity,1902,0.38,bidirectional,same generation
769,2927,born 4 years apart,birth-year proximity,1902,0.5,bidirectional,same generation
